seed,split,stage,n_odors,mean_left_command,mean_right_command,mean_left_minus_right_command,left_right_ratio_of_means
0,development,mirror_both,12,37.1032299642337,6.262931599586513,30.840298364647186,5.924259170686664
0,development,real_both,12,38.932141612477025,5.990782594935495,32.94135901754153,6.498673753474144
0,development,real_retrieval_only,12,38.53592364205154,5.970500269367283,32.56542337268426,6.454387723549227
0,development,real_training_only,12,37.909715311059486,6.055405865549049,31.854309445510438,6.260474715120054
0,development,symmetrized,12,38.01260366173247,6.1308497163343505,31.881753945398117,6.200217819800074
1,development,mirror_both,12,35.60835005689355,5.765168950959024,29.843181105934523,6.176462539050165
1,development,real_both,12,37.38853787336149,5.444373719164162,31.94416415419734,6.86737167614965
1,development,real_retrieval_only,12,36.804489269058855,5.422895280746818,31.381593988312037,6.786870733006354
1,development,real_training_only,12,36.136270035395,5.521335660830935,30.61493437456406,6.544842091697185
1,development,symmetrized,12,36.38664149307468,5.608688948597847,30.777952544476832,6.487548485314239
2,development,mirror_both,12,39.744126527179084,5.862657681323351,33.881468845855736,6.779199586186281
2,development,real_both,12,41.565208823888725,5.597414950147203,35.96779387374152,7.425786580785051
2,development,real_retrieval_only,12,41.11122744533626,5.587274144158596,35.52395330117766,7.3580115069738214
2,development,real_training_only,12,40.435504491836774,5.672417518487997,34.76308697334878,7.128442918746045
2,development,symmetrized,12,40.53443061780883,5.743263343787992,34.79116727402083,7.057734982960783
3,development,mirror_both,12,38.54601411230401,6.574765501360383,31.971248610943622,5.862720747124512
3,development,real_both,12,40.32859363755975,6.287058709692584,34.04153492786717,6.414540646071314
3,development,real_retrieval_only,12,39.925192526240146,6.266507125654449,33.658685400585696,6.371203562953025
3,development,real_training_only,12,39.26340244279614,6.365540074978217,32.89786236781792,6.168118019888595
3,development,symmetrized,12,39.36362663806849,6.42019957113984,32.94342706692864,6.131215424364119
4,development,mirror_both,12,43.3434522770871,6.724588966902175,36.61886331018493,6.445516966229415
4,development,real_both,12,45.06139362372746,6.436332402941716,38.625061220785746,7.001097954967681
4,development,real_retrieval_only,12,44.615440695772016,6.414589460374337,38.20085123539768,6.95530726812381
4,development,real_training_only,12,44.01510058530301,6.499620807059723,37.51547977824328,6.771948993931296
4,development,symmetrized,12,44.1115561904032,6.579776252232371,37.53177993817082,6.7041118876097245
5,development,mirror_both,12,45.59066135026893,6.664335127129423,38.92632622313951,6.8409917089368415
5,development,real_both,12,47.51437101941525,6.3738872633627155,41.14048375605254,7.454535836008459
5,development,real_retrieval_only,12,47.11146565307495,6.358965307276417,40.75250034579853,7.408668451008278
5,development,real_training_only,12,46.419160964904904,6.452210064276476,39.96695090062843,7.194304045045092
5,development,symmetrized,12,46.53337900682255,6.516129027234658,40.017249979587895,7.141261140215724
6,development,mirror_both,12,34.465002112384816,5.538308942581957,28.92669316980286,6.223019060456611
6,development,real_both,12,36.304875971553706,5.201640511547276,31.103235460006427,6.979505002500545
6,development,real_retrieval_only,12,35.68847296443498,5.179938487190723,30.508534477244254,6.889748411624515
6,development,real_training_only,12,35.09627955946437,5.267102314206256,29.829177245258112,6.6632993752188625
6,development,symmetrized,12,35.38393676176679,5.369080581083462,30.014856180683328,6.590315832925428
7,development,mirror_both,12,41.065996992286465,6.231911916103923,34.83408507618254,6.58963052513107
7,development,real_both,12,43.377491689174235,5.938167249381809,37.43932443979242,7.30486189887798
7,development,real_retrieval_only,12,42.76599815107887,5.91952667100717,36.846471480071706,7.224563808545608
7,development,real_training_only,12,42.044846094660976,6.011163923460241,36.03368217120073,6.994460079614408
7,development,symmetrized,12,42.18076251134349,6.090827410164596,36.089935101178895,6.925292685350218
8,development,mirror_both,12,41.00157996342013,6.450286288445038,34.55129367497509,6.356551962177221
8,development,real_both,12,42.79856353770964,6.156042734340307,36.64252080336933,6.952284996165806
8,development,real_retrieval_only,12,42.29708390824881,6.145690045246905,36.15139386300191,6.8823978425273005
8,development,real_training_only,12,41.71349629391928,6.228479893132491,35.48501640078678,6.697219387335984
8,development,symmetrized,12,41.797166999668896,6.303929902850272,35.493237096818625,6.630334988460236
9,development,mirror_both,12,39.20390430066468,6.153257157334267,33.050647143330416,6.371244252962233
9,development,real_both,12,40.72360041023873,5.896976094498602,34.826624315740126,6.905844581637448
9,development,real_retrieval_only,12,40.374638760760725,5.877368900993999,34.49726985976673,6.869509033869295
9,development,real_training_only,12,39.745480273380835,5.966876501168078,33.778603772212755,6.661019423747122
9,development,symmetrized,12,39.86924513111101,6.011261326528313,33.857983804582695,6.632425869619731
10,validation,mirror_both,12,38.54880609727833,5.872630745216232,32.676175352062096,6.564146082005868
10,validation,real_both,12,40.61193637215084,5.609826097457176,35.00211027469366,7.239428757080266
10,validation,real_retrieval_only,12,40.05527035632572,5.602509140533967,34.45276121579175,7.149523428088171
10,validation,real_training_only,12,39.41425240797188,5.6799662333352705,33.73428617463661,6.939170197289688
10,validation,symmetrized,12,39.52076765719014,5.740272778045234,33.780494879144904,6.8848239770668815
11,validation,mirror_both,12,42.28064134092898,6.179399510377864,36.10124183055112,6.842192557694585
11,validation,real_both,12,44.09123464544883,5.956389154450936,38.1348454909979,7.402342846001167
11,validation,real_retrieval_only,12,43.6640295579978,5.940130487845388,37.72389907015241,7.350685249649402
11,validation,real_training_only,12,43.049597474218444,6.008642134349153,37.04095533986929,7.164613320557076
11,validation,symmetrized,12,43.153231001493346,6.062727118123111,37.09050388337024,7.11779206959469
12,validation,mirror_both,12,39.13927335637191,6.099014622310733,33.040258734061176,6.417310955969346
12,validation,real_both,12,40.752770452839286,5.80959680018907,34.943173652650216,7.01473301064766
12,validation,real_retrieval_only,12,40.344123886201565,5.803665474288633,34.54045841191294,6.951490237494543
12,validation,real_training_only,12,39.72891569477345,5.889347353252877,33.839568341520575,6.7458944619440535
12,validation,symmetrized,12,39.90815590444456,5.939459460854994,33.96869644358957,6.719156207305727
13,validation,mirror_both,12,38.23957024728559,5.980964492473568,32.25860575481202,6.393545772660276
13,validation,real_both,12,39.97290672077566,5.644326719360215,34.32858000141545,7.081961889921672
13,validation,real_retrieval_only,12,39.55533999837,5.634412506154965,33.920927492215036,7.020313112531292
13,validation,real_training_only,12,38.95940697180048,5.7291577272728675,33.23024924452761,6.800198009270994
13,validation,symmetrized,12,39.11740883391776,5.802896819846105,33.314512014071646,6.741014022536965
14,validation,mirror_both,12,40.66874951732111,5.900810200526432,34.767939316794674,6.892061960185215
14,validation,real_both,12,42.67283783273322,5.5990420484489105,37.07379578428431,7.621453359964456
14,validation,real_retrieval_only,12,42.24898877872884,5.586019205266319,36.662969573462526,7.563344705098373
14,validation,real_training_only,12,41.54543424123192,5.681588981468917,35.86384525976301,7.3122913988915075
14,validation,symmetrized,12,41.66014766355173,5.74231786430299,35.91782979924874,7.254935837413538
15,validation,mirror_both,12,40.44118687366593,5.978276461207861,34.462910412458065,6.764689979809853
15,validation,real_both,12,42.06163993489886,5.727825441999687,36.333814492899165,7.343387182590952
15,validation,real_retrieval_only,12,41.75424372069058,5.706972346970076,36.047271373720505,7.3163564114444295
15,validation,real_training_only,12,41.12328308628204,5.788201432116441,35.335081654165606,7.104673803870267
15,validation,symmetrized,12,41.18791627235225,5.848881005192967,35.33903526715928,7.042016453366599
16,validation,mirror_both,12,36.635050054769216,5.506083016724879,31.128967038044337,6.653559334919079
16,validation,real_both,12,38.55270530202156,5.216841144501321,33.335864157520234,7.390047776834658
16,validation,real_retrieval_only,12,38.06057260827232,5.195798133944121,32.8647744743282,7.325260071137638
16,validation,real_training_only,12,37.38921950573195,5.283360855377727,32.10585865035422,7.076787016672337
16,validation,symmetrized,12,37.50749205315763,5.350487764807348,32.15700428835028,7.0101070597454465
17,validation,mirror_both,12,41.24862616942544,6.065753934511386,35.18287223491405,6.8002471934674915
17,validation,real_both,12,43.142475402029056,5.809895006480867,37.33258039554819,7.425689337570498
17,validation,real_retrieval_only,12,42.6729846354474,5.788004415646621,36.88498021980078,7.372659308982245
17,validation,real_training_only,12,41.98759361637468,5.876135199512139,36.11145841686254,7.145443763761709
17,validation,symmetrized,12,42.07821962238732,5.947557045197203,36.13066257719012,7.074874490925061
18,validation,mirror_both,12,44.61649165783617,6.540271187035525,38.07622047080064,6.821810653093005
18,validation,real_both,12,46.62141756130928,6.17275575168415,40.44866180962513,7.552772122660009
18,validation,real_retrieval_only,12,46.17957343297855,6.162341463509786,40.01723196946877,7.493835534176451
18,validation,real_training_only,12,45.478310704444446,6.2606703696205,39.21764033482395,7.26412796385592
18,validation,symmetrized,12,45.5319849363703,6.34831576283905,39.18366917353125,7.172293666124729
19,validation,mirror_both,12,43.354340546247776,6.630822073818986,36.72351847242879,6.538305516811746
19,validation,real_both,12,44.9265553830564,6.309924359531593,38.6166310235248,7.119983192063408
19,validation,real_retrieval_only,12,44.55082725017931,6.302299994528312,38.248527255651,7.06897914870104
19,validation,real_training_only,12,43.98165124224559,6.3897634407174415,37.59188780152815,6.883142333874466
19,validation,symmetrized,12,44.08517849682688,6.458150271085995,37.62702822574088,6.826285646247987
