silenced_group,n_silenced_neurons,n_seeds,n_odors,mean_delta_vs_matched_symmetrized,seed_bootstrap_ci_low,seed_bootstrap_ci_high,positive_odors,negative_odors,retained_fraction
none,0,10,80,1.8624532216904297e-06,1.6976257361278611e-06,2.058678043468376e-06,79,1,1.0
all_MBON,96,10,80,1.4127248568196472e-08,1.1275659245260638e-08,1.709054964223189e-08,73,7,0.0075852904135622
MBON26,2,10,80,1.4531637134496122e-06,1.2886254944532992e-06,1.6390506732477654e-06,79,1,0.7802417244770681
MBON27,2,10,80,2.355356952676857e-06,2.167121963125851e-06,2.5787361677309657e-06,80,0,1.2646529455054176
MBON31,2,10,80,2.765044800412397e-06,2.5814206847485366e-06,2.975247220042831e-06,80,0,1.484625099954319
MBON32,2,10,80,-4.246513412020647e-07,-4.901683516855826e-07,-3.56239087762056e-07,6,74,-0.2280064466889728
APL,2,10,80,4.824155901133054e-05,4.5303016726450096e-05,5.137385335871159e-05,80,0,25.902158749278414
DPM,2,10,80,4.572324371565628e-06,4.204200711050987e-06,5.019322243704493e-06,78,2,2.455000919387184
DAN,331,10,80,1.956935345504007e-06,1.780747460067289e-06,2.163846940419489e-06,79,1,1.050729931207519
