route,n_edges,n_types_pre,n_types_post,weight_m,weight_f,male_route_share,female_route_share,route_share_delta_m_minus_f,present_both_edge_fraction,log_weight_spearman,isomorphic_mass_fraction,dimorphic_mass_fraction,noise_mass_fraction,inference_boundary
KC_to_MBON,192,12,35,462976.0,314831.0,0.30780543294779206,0.28203864839030734,0.025766784557484712,0.9739583333333334,0.9563093483561859,1.0,0.0,0.0,"one male and one female connectome; descriptive cross-sex route conservation, not KC left-right 5-HT replication or biological-replicate inference"
KC_to_DAN,138,12,24,281426.0,215251.0,0.18710354699328977,0.19283076032748378,-0.005727213334194015,0.9855072463768116,0.9315578106955982,1.0,0.0,0.0,"one male and one female connectome; descriptive cross-sex route conservation, not KC left-right 5-HT replication or biological-replicate inference"
DAN_to_KC,134,25,12,224796.0,155017.0,0.14945360041326516,0.1388706485623089,0.010582951850956257,1.0,0.9302063134973527,1.0,0.0,0.0,"one male and one female connectome; descriptive cross-sex route conservation, not KC left-right 5-HT replication or biological-replicate inference"
KC_to_APL,12,12,1,210287.0,149703.0,0.13980742215210365,0.13411014728528697,0.005697274866816676,1.0,0.9440559440559443,1.0,0.0,0.0,"one male and one female connectome; descriptive cross-sex route conservation, not KC left-right 5-HT replication or biological-replicate inference"
APL_to_KC,12,1,12,196098.0,147066.0,0.13037399301518032,0.1317478134750674,-0.0013738204598870707,1.0,0.9720279720279721,1.0,0.0,0.0,"one male and one female connectome; descriptive cross-sex route conservation, not KC left-right 5-HT replication or biological-replicate inference"
KC_to_DPM,12,12,1,95492.0,105539.0,0.06348699803672449,0.09454620705224279,-0.0310592090155183,1.0,0.8671328671328673,1.0,0.0,0.0,"one male and one female connectome; descriptive cross-sex route conservation, not KC left-right 5-HT replication or biological-replicate inference"
DPM_to_KC,12,1,12,32777.0,28646.0,0.02179149389110835,0.025662273161755813,-0.003870779270647464,1.0,0.9020979020979022,1.0,0.0,0.0,"one male and one female connectome; descriptive cross-sex route conservation, not KC left-right 5-HT replication or biological-replicate inference"
MB_to_5HT,4,4,1,145.0,144.0,9.640194692042319e-05,0.00012900116369799752,-3.259921677757433e-05,1.0,0.39999999999999997,1.0,0.0,0.0,"one male and one female connectome; descriptive cross-sex route conservation, not KC left-right 5-HT replication or biological-replicate inference"
5HT_to_MB,5,2,5,122.0,72.0,8.111060361580434e-05,6.450058184899876e-05,1.661002176680558e-05,1.0,0.6668859288553501,1.0,0.0,0.0,"one male and one female connectome; descriptive cross-sex route conservation, not KC left-right 5-HT replication or biological-replicate inference"
