hemibrain_type,cell_type,left_n,right_n,left_mean_fraction,right_mean_fraction,right_minus_left_fraction,bootstrap_ci_low,bootstrap_ci_high,cohens_d,replication_unit
KCa'b'-ap1,KCapbp-ap1,148,132,0.0091841358545374,0.0190048995607038,0.0098207637061664,0.0081505999602512,0.0115773093002537,1.3380040240103293,KC subtype
KCa'b'-ap2,KCapbp-ap2,138,160,0.0081526256172094,0.0159330582097131,0.0077804325925037,0.0066524374717404,0.0088767417417426,1.445532775758044,KC subtype
KCa'b'-m,KCapbp-m,164,174,0.0095780134515756,0.0167978248565697,0.0072198114049941,0.0061202340682573,0.008417281844661,1.3483792501024652,KC subtype
KCab-c,KCab,190,213,0.0079298252486552,0.0087821990670988,0.0008523738184435,8.7403402711936e-05,0.0016846376089259,0.2059535673933953,KC subtype
KCab-m,KCab,343,276,0.0079258375656982,0.0087216839976063,0.000795846431908,0.0002061920967626,0.0013818828531974,0.2107832856602231,KC subtype
KCab-p,KCab-p,67,61,0.0141385272074798,0.0177778788229752,0.0036393516154953,0.0017787033261795,0.0052653284184685,0.7064828899489909,KC subtype
KCab-s,KCab,311,310,0.0078740367324628,0.0096132280664077,0.0017391913339449,0.0011724924248518,0.0023319687654302,0.4672893165453657,KC subtype
KCg-d,KCg-d,147,148,0.0076214916714554,0.0117953454556955,0.0041738537842401,0.0028457633202396,0.0056275626777056,0.6638202628022062,KC subtype
KCg-m,KCg-m,1069,1120,0.0054132142378085,0.0079972341346125,0.0025840198968039,0.0022156008660051,0.0029874100288983,0.5637444950711838,KC subtype
random_effects_pooled,nine_subtypes,2577,2594,,,0.0042026145525330206,0.002622270290438416,0.005782958814627625,,random-effects meta-analysis; tau2=5.52e-06; z_p=1.9e-07
